NMI,METER SERIAL NUMBER,CON/GEN,DATE,ESTIMATED?,00:00 - 00:30,00:30 - 01:00,01:00 - 01:30,01:30 - 02:00,02:00 - 02:30,02:30 - 03:00,03:00 - 03:30,03:30 - 04:00,04:00 - 04:30,04:30 - 05:00,05:00 - 05:30,05:30 - 06:00,06:00 - 06:30,06:30 - 07:00,07:00 - 07:30,07:30 - 08:00,08:00 - 08:30,08:30 - 09:00,09:00 - 09:30,09:30 - 10:00,10:00 - 10:30,10:30 - 11:00,11:00 - 11:30,11:30 - 12:00,12:00 - 12:30,12:30 - 13:00,13:00 - 13:30,13:30 - 14:00,14:00 - 14:30,14:30 - 15:00,15:00 - 15:30,15:30 - 16:00,16:00 - 16:30,16:30 - 17:00,17:00 - 17:30,17:30 - 18:00,18:00 - 18:30,18:30 - 19:00,19:00 - 19:30,19:30 - 20:00,20:00 - 20:30,20:30 - 21:00,21:00 - 21:30,21:30 - 22:00,22:00 - 22:30,22:30 - 23:00,23:00 - 23:30,23:30 - 00:00
61029293722,A8395168,Generation,2/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,0.012,0.209,0.41,0.759,0.398,0.048,0,0.007,0.055,0.041,0,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,3/06/2015,No,0.189,0.115,0.192,0.145,0.159,0.139,0.147,0.169,0.154,0.153,0.129,0.177,0.289,0.353,0.544,0.621,0.577,0.521,0.551,0.32,0.004,0.004,0.007,0.023,0.147,0.164,0.02,0.765,0.219,0.011,0.058,0.265,0.519,0.784,1.482,1.329,1.298,1.209,1.04,1.174,0.676,0.698,0.776,0.769,0.538,0.341,0.211,0.217
61029293722,A8395168,Generation,3/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.233,0.365,0.143,0.089,0.003,0.222,0.493,0.036,0.275,0.179,0.072,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,4/06/2015,No,0.13,0.23,0.11,0.197,0.121,0.209,0.117,0.172,0.134,0.171,0.166,0.136,0.159,0.194,0.604,0.497,0.518,0.752,0.295,0.582,0.086,0.027,0.358,0.267,0.716,0.643,1.065,0.932,1.115,0.652,1.225,0.533,0.645,0.789,1.911,1.963,0.861,1.337,0.728,0.903,1.068,1.003,0.561,0.481,0.272,0.888,0.158,0.202
61029293722,A8395168,Generation,4/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.093,0.217,0.228,0.302,0.019,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,5/06/2015,No,0.136,0.187,0.161,0.175,0.132,0.174,0.133,0.191,0.15,0.172,0.127,0.171,0.129,0.557,0.779,0.52,0.322,0.336,0.178,0.098,0.008,0,0,0,0.027,0.043,0.074,0.08,0.084,0.223,0.247,0.279,0.37,0.454,0.571,0.553,1.586,0.486,0.608,0.64,0.593,0.792,0.735,0.724,0.814,0.736,0.596,0.645
61029293722,A8395168,Generation,5/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,0.501,0.545,0.544,0.467,0.358,0.092,0.087,0.057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,6/06/2015,No,0.568,0.188,0.157,0.155,0.158,0.153,0.198,0.131,0.201,0.199,0.222,0.155,0.177,0.127,0.582,0.608,0.497,0.389,0.412,0.363,0.175,0.282,0.134,0.007,0,0.085,0.149,1.468,0.367,0.872,0.321,0.339,0.43,0.65,0.73,1.26,2.018,1.051,0.859,0.9,0.939,0.951,0.769,0.383,0.319,0.406,0.298,0.401
61029293722,A8395168,Generation,6/06/2015,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.257,0.433,0.295,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61029293722,A8395168,Consumption,7/06/2015,No,0.312,0.309,0.257,0.191,0.295,0.17,0.243,0.175,0.221,0.235,0.194,0.222,0.16,0.257,0.185,0.243,0.103,0.343,0.217,0.123,0.066,0.28,0.75,0.021,0.806,0.35,0.313,0.678,1.01,0.448,0.422,0.572,0.585,1.292,1.32,1.293,1.689,1.026,1.264,0.99,1.448,0.791,0.776,0.844,0.612,0.453,0.367,0.291
