# Version: powershare 1.0.0
datetime_utc,datetime_local,total_watt_hours_in,total_watt_hours_out
2025-10-16 04:45:00,2025-10-16 15:15:00,39056,0
2025-10-16 04:46:00,2025-10-16 15:16:00,39068,0
2025-10-16 04:47:00,2025-10-16 15:17:00,39078,0
2025-10-16 04:48:00,2025-10-16 15:18:00,39087,0
2025-10-16 04:49:00,2025-10-16 15:19:00,39099,0
2025-10-16 04:50:00,2025-10-16 15:20:00,39110,0
2025-10-16 04:51:00,2025-10-16 15:21:00,39123,0
2025-10-16 04:52:00,2025-10-16 15:22:00,39134,0
2025-10-16 04:53:00,2025-10-16 15:23:00,39146,0
2025-10-16 04:54:00,2025-10-16 15:24:00,39156,0
2025-10-16 04:55:00,2025-10-16 15:25:00,39165,0
2025-10-16 04:56:00,2025-10-16 15:26:00,39173,0
2025-10-16 04:57:00,2025-10-16 15:27:00,39180,0
2025-10-16 04:58:00,2025-10-16 15:28:00,39187,0
2025-10-16 04:59:00,2025-10-16 15:29:00,39193,0
2025-10-16 05:00:00,2025-10-16 15:30:00,39199,0
2025-10-16 05:01:00,2025-10-16 15:31:00,39206,0
2025-10-16 05:02:00,2025-10-16 15:32:00,39212,0
2025-10-16 05:03:00,2025-10-16 15:33:00,39219,0
2025-10-16 05:04:00,2025-10-16 15:34:00,39225,0
2025-10-16 05:05:00,2025-10-16 15:35:00,39231,0
2025-10-16 05:06:00,2025-10-16 15:36:00,39237,0
2025-10-16 05:07:00,2025-10-16 15:37:00,39242,0
2025-10-16 05:08:00,2025-10-16 15:38:00,39248,0
2025-10-16 05:09:00,2025-10-16 15:39:00,39258,0
2025-10-16 05:10:00,2025-10-16 15:40:00,39269,0
2025-10-16 05:11:00,2025-10-16 15:41:00,39280,0
2025-10-16 05:12:01,2025-10-16 15:42:01,39301,0
2025-10-16 05:13:00,2025-10-16 15:43:00,39311,0
2025-10-16 05:14:00,2025-10-16 15:44:00,39325,0
2025-10-16 05:15:00,2025-10-16 15:45:00,39342,0
2025-10-16 05:16:00,2025-10-16 15:46:00,39360,0
2025-10-16 05:17:00,2025-10-16 15:47:00,39389,0
2025-10-16 05:18:00,2025-10-16 15:48:00,39410,0
2025-10-16 05:19:00,2025-10-16 15:49:00,39432,0
2025-10-16 05:20:00,2025-10-16 15:50:00,39456,0
2025-10-16 05:21:00,2025-10-16 15:51:00,39475,0
2025-10-16 05:22:00,2025-10-16 15:52:00,39489,0
2025-10-16 05:23:00,2025-10-16 15:53:00,39499,0
2025-10-16 05:24:01,2025-10-16 15:54:01,39508,0
